"행정구역","2023년12월_거주자_총인구수","2023년12월_거주자_연령구간인구수","2023년12월_거주자_0~9세","2023년12월_거주자_10~19세","2023년12월_거주자_20~29세","2023년12월_거주자_30~39세","2023년12월_거주자_40~49세","2023년12월_거주자_50~59세","2023년12월_거주자_60~69세","2023년12월_거주자_70~79세","2023년12월_거주자_80~89세","2023년12월_거주자_90~99세","2023년12월_거주자_100세 이상","2023년12월_남_거주자_총인구수","2023년12월_남_거주자_연령구간인구수","2023년12월_남_거주자_0~9세","2023년12월_남_거주자_10~19세","2023년12월_남_거주자_20~29세","2023년12월_남_거주자_30~39세","2023년12월_남_거주자_40~49세","2023년12월_남_거주자_50~59세","2023년12월_남_거주자_60~69세","2023년12월_남_거주자_70~79세","2023년12월_남_거주자_80~89세","2023년12월_남_거주자_90~99세","2023년12월_남_거주자_100세 이상","2023년12월_여_거주자_총인구수","2023년12월_여_거주자_연령구간인구수","2023년12월_여_거주자_0~9세","2023년12월_여_거주자_10~19세","2023년12월_여_거주자_20~29세","2023년12월_여_거주자_30~39세","2023년12월_여_거주자_40~49세","2023년12월_여_거주자_50~59세","2023년12월_여_거주자_60~69세","2023년12월_여_거주자_70~79세","2023년12월_여_거주자_80~89세","2023년12월_여_거주자_90~99세","2023년12월_여_거주자_100세 이상"
"대구광역시 중구 (2711000000)","88,481","88,481","6,806","6,229","12,612","14,436","12,906","12,660","10,959","7,349","3,963","546","15","42,288","42,288","3,446","3,102","5,820","7,485","6,511","6,172","5,092","3,015","1,495","147","3","46,193","46,193","3,360","3,127","6,792","6,951","6,395","6,488","5,867","4,334","2,468","399","12"
"대구광역시 중구 동인동(2711051700)","8,286","8,286","302","457","1,291","1,382","977","1,233","1,204","863","488","87","2","4,096","4,096","137","235","618","759","527","656","595","360","181","28","0","4,190","4,190","165","222","673","623","450","577","609","503","307","59","2"
"대구광역시 중구 삼덕동(2711054500)","6,601","6,601","350","438","1,728","1,222","901","743","622","360","209","27","1","3,191","3,191","173","220","786","679","455","366","274","154","75","9","0","3,410","3,410","177","218","942","543","446","377","348","206","134","18","1"
"대구광역시 중구 성내1동(2711056500)","4,805","4,805","98","188","1,515","867","472","539","512","364","209","39","2","2,275","2,275","54","88","612","472","259","286","271","144","81","7","1","2,530","2,530","44","100","903","395","213","253","241","220","128","32","1"
"대구광역시 중구 성내2동(2711057500)","5,812","5,812","333","319","1,116","997","709","783","745","526","254","29","1","2,897","2,897","174","148","493","567","375","421","374","240","97","7","1","2,915","2,915","159","171","623","430","334","362","371","286","157","22","0"
"대구광역시 중구 성내3동(2711058500)","8,978","8,978","1,213","535","872","2,081","1,514","1,031","950","516","242","24","0","4,444","4,444","626","262","394","1,080","814","495","450","237","82","4","0","4,534","4,534","587","273","478","1,001","700","536","500","279","160","20","0"
"대구광역시 중구 대신동(2711059500)","7,511","7,511","695","528","695","1,130","1,152","1,178","1,099","656","333","43","2","3,633","3,633","366","268","350","574","590","559","515","266","131","14","0","3,878","3,878","329","260","345","556","562","619","584","390","202","29","2"
"대구광역시 중구 남산1동(2711064000)","4,216","4,216","164","249","809","554","536","616","620","415","229","23","1","1,980","1,980","84","132","342","297","265","314","288","172","82","4","0","2,236","2,236","80","117","467","257","271","302","332","243","147","19","1"
"대구광역시 중구 남산2동(2711065000)","7,245","7,245","770","539","875","1,292","1,185","988","729","559","257","49","2","3,428","3,428","359","238","404","626","604","496","357","228","106","10","0","3,817","3,817","411","301","471","666","581","492","372","331","151","39","2"
"대구광역시 중구 남산3동(2711066000)","6,177","6,177","366","532","577","694","1,005","1,003","924","656","366","54","0","2,803","2,803","181","267","294","353","481","455","396","245","120","11","0","3,374","3,374","185","265","283","341","524","548","528","411","246","43","0"
"대구광역시 중구 남산4동(2711067000)","16,433","16,433","1,575","1,399","1,645","2,489","2,565","2,468","2,058","1,414","735","82","3","7,702","7,702","807","739","776","1,237","1,251","1,159","872","558","275","27","1","8,731","8,731","768","660","869","1,252","1,314","1,309","1,186","856","460","55","2"
"대구광역시 중구 대봉1동(2711068000)","7,769","7,769","540","697","1,003","990","1,148","1,284","929","644","467","67","0","3,619","3,619","283","339","481","472","544","592","447","244","196","21","0","4,150","4,150","257","358","522","518","604","692","482","400","271","46","0"
"대구광역시 중구 대봉2동(2711069000)","4,648","4,648","400","348","486","738","742","794","567","376","174","22","1","2,220","2,220","202","166","270","369","346","373","253","167","69","5","0","2,428","2,428","198","182","216","369","396","421","314","209","105","17","1"
