연도,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연합계,순위
2006,0,0,0,0,0,2,6,19,0,0,0,0,27,13
2007,0,0,0,0,0,1,5,16,1,0,0,0,23,15
2008,0,0,0,0,1,1,20,13,1,0,0,0,36,6
2009,0,0,0,0,2,6,1,7,2,0,0,0,18,19
2010,0,0,0,0,0,4,12,20,5,0,0,0,41,4
2011,0,0,0,0,0,4,10,11,4,0,0,0,29,11
2012,0,0,0,0,0,0,13,17,0,0,0,0,30,10
2013,0,0,0,0,2,4,24,23,1,0,0,0,54,1
2014,0,0,0,0,3,2,14,3,0,0,0,0,22,17
2015,0,0,0,0,2,2,6,11,0,0,0,0,21,18
2016,0,0,0,0,0,1,10,21,0,0,0,0,32,8
2017,0,0,0,0,2,6,16,9,0,0,0,0,33,7
2018,0,0,0,0,0,4,21,15,0,0,0,0,40,5
2019,0,0,0,0,2,5,6,16,0,0,0,0,29,11
2020,0,0,0,0,0,7,0,24,0,0,0,0,31,9
2021,0,0,0,0,0,2,13,8,0,0,0,0,23,15
2022,0,0,0,0,4,11,18,11,1,0,0,0,45,3
2023,0,0,0,0,1,3,9,14,0,0,0,0,27,13
2024,0,0,0,0,0,8,11,26,8,0,0,0,53,2
