"시도별","지출목적별",2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"대구광역시","0 총지수",75.481,77.264,80.979,82.885,85.229,88.766,90.939,92.442,93.769,94.464,95.412,97.358,99.047,99.710,100.00,102.64,108.02,111.79,114.20
"대구광역시","01 식료품 및 비주류음료",60.933,62.454,65.704,70.332,75.243,81.432,84.829,85.478,86.756,87.940,90.595,93.475,96.809,96.806,100.00,106.01,112.48,118.70,122.82
"대구광역시","02 주류 및 담배",58.746,58.987,59.242,60.039,60.383,60.921,61.827,62.397,62.433,97.178,97.959,99.403,99.404,99.740,100.00,99.93,101.84,102.96,104.08
"대구광역시","03 의류 및 신발",70.474,72.403,74.350,78.021,80.306,82.735,86.836,89.376,93.206,94.571,96.239,97.211,98.280,99.024,100.00,100.49,103.64,110.71,114.45
"대구광역시","04 주택, 수도, 전기 및 연료",79.664,80.779,83.943,83.054,84.698,88.100,92.067,95.574,98.489,97.881,96.488,97.077,97.806,99.345,100.00,101.18,106.17,111.83,112.69
"대구광역시","05 가정용품 및 가사 서비스",74.752,75.779,79.253,82.390,82.547,85.450,87.630,88.652,90.828,94.037,95.366,96.038,97.769,99.945,100.00,101.90,107.34,112.57,114.20
"대구광역시","06 보건",84.664,86.145,87.683,89.462,91.284,92.965,93.481,93.700,94.373,95.870,96.970,97.648,97.838,98.316,100.00,100.10,100.91,102.40,104.68
"대구광역시","07 교통",92.923,96.211,105.061,101.252,105.771,113.643,116.244,115.179,112.506,101.435,97.575,103.106,106.501,103.697,100.00,107.26,118.56,113.69,115.93
"대구광역시","08 통신",115.148,112.884,111.254,111.137,109.991,108.250,105.472,105.282,105.161,104.892,104.980,105.281,104.414,102.060,100.00,98.99,99.94,100.94,101.19
"대구광역시","09 오락 및 문화",92.239,91.002,92.279,94.198,95.076,96.684,96.676,97.809,98.279,98.082,100.105,100.557,101.155,101.036,100.00,100.86,103.70,107.62,108.87
"대구광역시","10 교육",75.606,79.888,84.176,86.702,87.958,89.806,92.534,94.959,95.917,96.884,98.692,100.471,101.612,102.482,100.00,101.70,104.45,106.17,107.23
"대구광역시","11 음식 및 숙박",67.158,68.537,72.130,74.746,76.449,80.704,82.481,84.673,86.058,87.920,90.686,92.939,95.866,98.990,100.00,102.58,110.45,117.06,120.51
"대구광역시","12 기타 상품 및 서비스",66.389,69.344,75.530,80.048,82.012,83.987,82.640,84.210,87.267,90.240,93.046,95.574,96.430,98.043,100.00,102.20,108.37,114.88,120.06
