year,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,세종특별자치시,경기도,강원특별자치도,충청북도,충청남도,전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
2013,60627,1787.0,7292.0,2303,0,245,2415,1285,169,4022,3554,2020.0,12978,1042,1829,11161.0,7921,604
2014,60042,1831.0,7229.0,2796,0,125,2415,1286,25,4322,3559,2100.0,15376,1030,1815,10649.0,6880,604
2015,63011,1620.0,7007.0,3049,0,125,4324,1224,0,3950,3011,2096.0,14084,1134,2401,10593.0,7789,604
2016,59538,1818.0,6861.0,3078,0,125,4696,872,0,2909,3071,1610.0,11716,1205,1934,10680.0,8390,573
2017,61528,1506.0,7579.0,2882,30,115,3536,1107,0,3608,4298,2398.0,9459,1225,1942,12850.0,8233,760
2018,60930,1760.0,7624.0,2871,268,105,4923,1396,0,4704,3897,2350.0,8829,1146,1368,11317.0,7586,786
2019,63817,1359.7,10453.4,2818,267,173,5131,1350,0,4479,3761,2355.7,7559,1125,1233,11686.2,9306,760
2020,42190,1137.0,6560.0,1894,35,152,1528,1015,7,2633,2204,1702.0,8359,368,911,7246.0,6109,330
2021,34359,349.0,6039.0,1381,35,151,1244,959,1,2289,1764,1462.0,5991,327,808,5785.0,5112,660
2022,41207,406.0,7059.0,1682,219,159,1379,1124,2,2636,2709,1474.0,7077,475,852,7654.0,5265,1306
