year,전국,서울특별시,부산광역시,대구광역시,인천광역시,광주광역시,대전광역시,울산광역시,경기도,강원특별자치도,충청북도,충청남도(세종),전북특별자치도,전라남도,경상북도,경상남도,제주특별자치도
2015,7.2,8.95,8.35,5.7,6.45,5.9,7.85,3.05,7.2,7.85,7.1,4.425,6.95,4.85,6.6,7.25,4.45
2016,6.95,10.9,4.15,5.4,9.3,4.6,9.2,6.15,7.8,5.35,3.55,0.95,2.3,3.3,4.65,5.85,2.85
2017,9.3,7.55,11.8,9,5.6,6.5,9,9.25,7.1,4.35,3.7,4.4,4.85,6.1,3.65,5.5,2.85
2018,10.4,17.6,8,7.7,8.5,8.8,11.4,7.8,11,8.5,11.3,3.4,5.1,10.4,5.5,5.7,7.6
2019,13.3,21.6,9.2,9.3,9.5,12.9,10.6,12.3,15,13.8,13.4,7.7,8.3,8.6,8.5,7.7,11.4
2020,14.6,20.1,15.6,7.6,10.6,12.9,11.5,16.5,15.7,15.8,17.5,11.7,8.9,5.6,11.6,13.3,15.8
2021,15,18.6,11.6,9.8,20.4,18.2,11.6,18.1,14.7,7.7,16.5,14.8,9,9,16.3,15.8,7.6
2022,13.3,21.6,12.1,11.9,11.2,13.2,12.8,11.1,16,10.5,10.6,12.5,12.1,10.4,11.6,12.1,10.4
2023,15.1,20.8,15.5,13.1,16.1,14,13.9,13.3,15.3,10.2,10.2,12.8,10.1,11.9,10.9,13.6,12.4
