year,전국,서울특별시,경기도,부산광역시,대구광역시,경상남도,인천광역시,광주광역시,대전광역시,충청남도,전라북도,경상북도,충청북도,강원특별자치도,울산광역시,전라남도,제주특별자치도,세종특별자치시
2015,"217,299,066","59,131,105","49,252,926","16,907,521","12,403,565","11,193,343","10,634,584","8,194,922","7,856,722","6,805,497","6,680,558","6,347,384","5,695,693","4,972,158","4,556,196","4,109,176","2,174,209","383,507"
2016,"217,026,130","58,576,484","49,703,177","16,459,990","11,959,678","11,168,009","10,905,626","7,940,538","7,653,160","6,927,338","6,713,481","6,360,812","5,657,374","5,049,284","4,704,634","4,143,826","2,226,882","875,837"
2017,"219,876,227","58,091,548","51,184,071","16,417,281","11,615,625","11,589,481","11,351,714","8,104,842","7,582,262","7,130,799","6,583,070","6,684,116","5,718,326","5,411,459","4,686,906","4,518,634","2,263,104","942,989"
2018,"216,385,271","56,545,415","51,482,380","15,931,752","11,190,532","11,150,767","10,893,335","7,792,854","7,355,246","7,083,353","6,854,768","6,455,094","5,611,004","5,428,836","4,878,328","4,415,243","2,294,652","1,021,712"
2019,"226,678,228","57,794,448","55,034,457","15,886,034","11,716,115","11,667,096","11,623,897","8,057,107","7,775,386","7,444,349","7,329,539","6,881,160","6,159,735","5,737,572","5,094,530","4,820,125","2,474,155","1,182,523"
2020,"59,523,866","16,110,892","13,754,571","4,335,194","3,178,939","2,975,169","2,972,980","2,067,408","2,044,620","1,881,674","1,832,863","1,771,348","1,579,316","1,348,433","1,322,762","1,328,232","688,507","330,958"
2021,"60,531,076","16,933,155","14,410,251","4,278,846","2,944,914","2,964,597","2,790,336","2,111,192","2,041,248","1,995,104","1,884,578","1,787,107","1,543,033","1,326,928","1,253,331","1,235,735","655,279","375,442"
2022,"112,805,095","28,924,215","28,481,132","7,686,224","5,745,673","5,706,481","5,124,980","3,832,621","3,755,932","3,740,226","3,739,866","3,311,504","3,070,646","2,762,750","2,513,205","2,399,252","1,315,740","694,648"
2023,"125,136,265","32,436,238","31,876,534","8,448,818","6,353,595","6,121,102","5,741,552","4,161,800","4,160,281","4,148,649","4,095,241","3,561,110","3,297,126","3,028,887","2,797,542","2,589,021","1,492,714","826,055"
2024,"123,125,369","31,449,664","31,416,351","8,304,409","6,312,577","6,095,291","5,636,453","4,231,582","4,033,042","4,049,773","4,100,868","3,615,274","3,127,090","3,044,269","2,824,448","2,557,115","1,497,997","829,166"
